,Стоимость,Тип продажи,Объект продажи,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Этажей в доме,Лифт пассажирский (кол-во),Лифт грузовой (кол-во),Мусоропровод,Парковка,Количество комнат,Тип дома,Высота потолков,Кол-во раздельных санузлов,Вид из окон,Расстояние до метро,Округ,Район
34982,8775000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,78.0,,,6,14,1.0,0.0,Нет,,3.0,Монолитный,,,,6 мин. на транспорте,ЗАО,район Можайский
35627,13275000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,59.0,25.0,14.0,18,31,1.0,1.0,Нет,,1.0,Монолитный,3.0,1.0,На улицу,25 мин. пешком,СЗАО,район Хорошево-Мневники
15005,9978500,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,82.2,49.6,11.8,16,22,1.0,0.0,Нет,подземная,3.0,Монолитный,,0.0,,6 мин. на транспорте,НАО (Новомосковский),Родниковая улица
24192,15532851,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,68.4,38.9,7.0,23,39,1.0,0.0,Нет,подземная,2.0,Монолитный,3.1,0.0,Во двор,2 мин. на транспорте,ЗАО,район Раменки
12258,10700000,", Возможна ипотека",Новостройка,79.0,42.0,11.0,13,16,0.0,0.0,Нет,,3.0,Монолитный,,0.0,На улицу и двор,6 мин. на транспорте,НАО (Новомосковский),пос. Коммунарка
4938,10516688,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,50.0,26.4,8.9,11,24,1.0,2.0,Нет,Неизвестно,2.0,Монолитный,2.8,2.0,На улицу,2 мин. пешком,САО,район Западное Дегунино
1179,22985160,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,72.6,50.2,,3,26,1.0,0.0,Нет,подземная,3.0,Монолитный,,1.0,,7 мин. на транспорте,ЗАО,район Очаково-Матвеевское
14929,8865100,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,72.4,39.8,13.5,2,22,1.0,0.0,Нет,подземная,3.0,Монолитный,,0.0,,6 мин. на транспорте,НАО (Новомосковский),Родниковая улица
23726,8582700,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,42.7,13.8,11.0,1,21,1.0,1.0,Нет,подземная,2.0,Монолитный,3.0,0.0,,12 мин. пешком,СЗАО,район Хорошево-Мневники
1078,25915676,,Новостройка,89.8,,,5,7,2.0,2.0,Нет,,3.0,Кирпичный,,,На улицу и двор,13 мин. пешком,ЦАО,район Пресненский
26174,24950000,", Возможна ипотека",Новостройка,76.54,28.5,25.8,7,21,2.0,2.0,Нет,подземная,2.0,Монолитный,,,Во двор,5 мин. пешком,СВАО,район Марьина роща
10768,12715714,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,69.22,30.8,21.2,5,8,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,2.9,2.0,Во двор,2 мин. на транспорте,ВАО,район Измайлово
24206,10106095,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,35.54,8.4,14.8,38,39,1.0,0.0,Нет,подземная,1.0,Монолитный,3.1,0.0,,2 мин. на транспорте,ЗАО,район Раменки
28399,5966782,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,24.42,13.6,5.0,15,19,1.0,0.0,Нет,подземная,,Монолитный,,0.0,,5 мин. пешком,ЮАО,район Чертаново Южное
13791,4038752,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,25.4,16.8,,18,32,2.0,1.0,Нет,подземная,,Монолитный,,0.0,,3 мин. на транспорте,Одинцовский городской округ,д. Раздоры
8305,11320000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,56.6,24.3,16.7,14,23,1.0,0.0,Нет,Неизвестно,2.0,Монолитный,,1.0,,3 мин. на транспорте,СЗАО,район Хорошево-Мневники
36299,7526351,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,69.9,29.2,25.7,7,16,1.0,1.0,Нет,подземная,2.0,Монолитный,2.89,1.0,Во двор,3 мин. на транспорте,НАО (Новомосковский),Сосенское поселение
12531,8323740,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,70.6,31.2,22.8,8,9,1.0,1.0,Нет,Неизвестно,2.0,Панельный,2.65,2.0,На улицу,11 мин. пешком,НАО (Новомосковский),Внуковское поселение
5288,7459452,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,43.47,12.0,16.1,18,22,1.0,0.0,Нет,подземная,1.0,Монолитный,,0.0,Во двор,2 мин. на транспорте,ЮВАО,район Марьино
20467,8404340,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,69.4,35.6,17.8,6,9,1.0,1.0,Нет,Неизвестно,3.0,Монолитный,2.65,2.0,На улицу и двор,3 мин. на транспорте,НАО (Новомосковский),пос. Коммунарка
29804,18816840,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,68.4,27.1,23.4,3,14,2.0,2.0,Нет,подземная,2.0,Монолитный,3.13,0.0,Во двор,15 мин. пешком,ЗАО,район Раменки
21588,6327990,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,62.1,24.4,21.9,11,14,1.0,1.0,Нет,Неизвестно,2.0,Панельный,2.9,2.0,На улицу,7 мин. на транспорте,Мытищи,микрорайон Ярославский
25020,11367988,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,63.33,,,8,23,1.0,1.0,Нет,подземная,3.0,Монолитный,,,,9 мин. пешком,ЮАО,район Москворечье-Сабурово
36237,6183000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,60.0,30.7,13.0,1,9,1.0,1.0,Нет,Наземная,2.0,Монолитный,2.8,0.0,,,НАО (Новомосковский),Десеновское поселение
21061,4729760,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,57.68,,,14,17,1.0,1.0,Нет,Неизвестно,3.0,Монолитный,,0.0,На улицу и двор,13 мин. на транспорте,Ленинский городской округ,д. Сапроново
11280,8223068,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,35.79,13.4,10.4,26,31,1.0,2.0,Нет,Неизвестно,1.0,Монолитный,,0.0,На улицу,2 мин. на транспорте,САО,район Ховрино
35842,10377750,"Свободная продажа, Возможна ипотека",Новостройка,68.5,,,39,41,1.0,1.0,Нет,подземная,2.0,Монолитный,,,,7 мин. на транспорте,Химки,микрорайон Старые Химки
28208,22270500,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,49.49,19.2,9.6,18,18,2.0,1.0,Нет,подземная,1.0,Монолитный,,,,10 мин. пешком,ЮЗАО,район Академический
17715,10110315,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,64.62,31.2,19.0,14,19,1.0,1.0,Нет,подземная,2.0,Монолитный,,1.0,,4 мин. на транспорте,ЗАО,район Солнцево
4782,12605150,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,56.5,22.7,19.6,3,11,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,3.0,2.0,На улицу,2 мин. на транспорте,СВАО,район Останкинский
28619,9450000,", Возможна ипотека",Новостройка,70.0,38.0,11.0,6,15,,,Нет,,2.0,Монолитный,,,Во двор,11 мин. пешком,НАО (Новомосковский),Московский поселение
26870,12852000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,74.96,,,10,20,2.0,1.0,Нет,подземная,,Монолитный,3.0,1.0,,2 мин. на транспорте,САО,район Хорошевский
9517,8082000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,72.2,38.7,17.1,13,17,1.0,1.0,Нет,Наземная,2.0,Монолитный,,1.0,Во двор,2 мин. на транспорте,Люберцы,микрорайон Северные Люберцы
17162,7490280,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,72.3,42.5,13.6,2,33,2.0,2.0,Нет,Неизвестно,3.0,Монолитный,2.8,2.0,На улицу и двор,3 мин. пешком,Котельники,Опытное поле мкр
13399,16626780,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,78.06,,,4,45,1.0,0.0,Нет,подземная,2.0,Монолитный,,,,7 мин. пешком,ЦАО,район Пресненский
13472,8204160,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,42.73,23.1,6.0,15,19,1.0,0.0,Нет,подземная,2.0,Монолитный,,0.0,,5 мин. пешком,ЮАО,район Чертаново Южное
14827,8235076,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,47.0,23.0,15.7,8,19,1.0,1.0,Нет,подземная,2.0,Монолитный,3.11,0.0,,8 мин. пешком,ЮВАО,район Рязанский
13919,8794210,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,60.3,29.3,14.2,8,16,1.0,1.0,Нет,подземная,2.0,Монолитный,2.89,1.0,Во двор,3 мин. на транспорте,НАО (Новомосковский),Сосенское поселение
22695,4075500,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,20.9,9.9,5.1,2,15,1.0,1.0,Нет,Неизвестно,,Монолитный,2.72,0.0,Во двор,2 мин. на транспорте,ЮВАО,район Люблино
27395,10623470,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,48.07,,,6,28,2.0,1.0,Нет,Неизвестно,1.0,Монолитный,3.0,0.0,На улицу,13 мин. пешком,ЗАО,район Филевский парк
23943,10275048,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,51.8,22.4,17.1,28,29,1.0,0.0,Нет,подземная,2.0,Монолитный,,1.0,,7 мин. пешком,САО,район Головинский
14516,22071087,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,73.4,31.3,18.2,8,51,2.0,2.0,Нет,Неизвестно,2.0,Монолитный,3.0,0.0,На улицу,14 мин. пешком,ЗАО,район Раменки
32739,13778420,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,68.21,,,2,31,1.0,0.0,Нет,подземная,1.0,Монолитный,,,,2 мин. на транспорте,ЗАО,район Раменки
37149,6081310,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,53.1,28.9,12.0,2,21,1.0,0.0,Нет,Неизвестно,2.0,Монолитный,,1.0,,4 мин. на транспорте,Красногорск городской округ,д. Путилково
35666,7832856,"Свободная продажа, Возможна ипотека",Новостройка,53.9,16.2,14.6,32,37,1.0,0.0,Нет,подземная,1.0,Монолитный,,1.0,,7 мин. на транспорте,Химки,микрорайон Старые Химки
18775,10521602,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,98.9,47.4,21.0,7,8,1.0,1.0,Нет,подземная,3.0,Монолитный,3.19,1.0,Во двор,3 мин. на транспорте,НАО (Новомосковский),пос. Коммунарка
6306,8370450,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,44.5,16.3,18.5,6,16,1.0,1.0,Нет,Неизвестно,1.0,Монолитный,,0.0,,2 мин. на транспорте,ЮЗАО,район Северное Бутово
4332,14700000,"Свободная продажа, Возможна ипотека",Новостройка,40.0,30.0,10.0,5,8,1.0,1.0,Нет,Неизвестно,1.0,Монолитный,0.0,0.0,Во двор,10 мин. пешком,САО,район Беговой
11929,4944060,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,36.3,12.9,12.4,6,33,2.0,2.0,Нет,Неизвестно,1.0,Монолитный,2.8,0.0,Во двор,3 мин. пешком,Котельники,Опытное поле мкр
946,2720400,,Новостройка,35.7,,10.6,3,17,,,Нет,,1.0,Кирпичный,,,,15 мин. на транспорте,Мытищи,переулок 2-й Рупасовский
36765,6570460,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,34.15,,,13,23,1.0,1.0,Нет,подземная,1.0,Монолитный,,,,4 мин. на транспорте,ЗАО,район Солнцево
31782,10148960,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,54.8,25.5,11.8,9,17,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,,1.0,,5 мин. на транспорте,ВАО,район Богородское
16029,5772260,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,59.6,35.0,11.0,3,16,1.0,0.0,Нет,подземная,2.0,Монолитный,2.8,,,6 мин. на транспорте,Мытищи городской округ,д. Бородино
30739,4874410,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,54.1,28.9,11.6,17,25,1.0,2.0,Нет,Неизвестно,2.0,Панельный,2.65,1.0,Во двор,3 мин. на транспорте,Котельники,Белая Дача Парк ЖК
20650,15161100,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,58.2,35.3,8.4,16,20,2.0,1.0,Нет,Неизвестно,3.0,Монолитный,3.0,2.0,На улицу и двор,6 мин. пешком,ЗАО,район Филевский парк
35152,7296409,"Свободная продажа, Возможна ипотека",Новостройка,62.4,32.3,12.9,11,17,1.0,0.0,Нет,Наземная,2.0,Панельный,,1.0,,9 мин. пешком,ЮВАО,район Некрасовка
23284,3782500,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,42.5,38.6,,20,24,2.0,1.0,Нет,Неизвестно,1.0,Монолитный,2.8,0.0,Во двор,9 мин. на транспорте,Одинцово,микрорайон 7-й
36471,6274800,"Свободная продажа, Возможна ипотека",Новостройка,63.0,28.8,23.9,10,17,1.0,0.0,Нет,Неизвестно,2.0,Монолитный,,0.0,,6 мин. на транспорте,Красногорск,микрорайон СГШ
12276,7373830,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,54.1,20.6,21.4,25,25,1.0,2.0,Нет,Неизвестно,2.0,Панельный,2.68,2.0,Во двор,6 мин. на транспорте,ЮВАО,район Люблино
31286,8215500,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,77.2,54.2,,5,22,1.0,0.0,Нет,подземная,3.0,Монолитный,,,,6 мин. на транспорте,НАО (Новомосковский),Родниковая улица
16395,7550000,", Возможна ипотека",Новостройка,37.0,11.0,14.0,8,22,,,Нет,,1.0,Монолитный,,,,15 мин. пешком,СВАО,район Лосиноостровский
20525,3538320,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,53.3,25.1,10.9,3,16,1.0,1.0,Нет,Наземная,2.0,Монолитный,,1.0,,29 мин. на транспорте,Пушкино,микрорайон Новое Пушкино
23792,8105120,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,35.8,14.7,11.5,3,21,1.0,1.0,Нет,подземная,2.0,Монолитный,3.0,0.0,,12 мин. пешком,СЗАО,район Хорошево-Мневники
6200,3861000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,42.9,11.2,12.1,17,17,1.0,0.0,Нет,Неизвестно,1.0,Монолитный,,0.0,,,Королев,микрорайон Юбилейный
6291,11958804,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,69.69,36.4,17.6,6,16,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,,0.0,,2 мин. на транспорте,ЮЗАО,район Северное Бутово
30309,3000000,"Свободная продажа, Возможна ипотека",Новостройка,43.0,18.0,9.0,11,17,,,Нет,,1.0,Монолитный,,,Во двор,29 мин. на транспорте,Щелково,микрорайон Щелково-3
29715,2673795,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,33.2,9.5,15.3,11,16,1.0,1.0,Нет,Наземная,1.0,Монолитный,,0.0,,29 мин. на транспорте,Пушкино,микрорайон Новое Пушкино
36730,7302087,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,40.41,,,19,23,1.0,1.0,Нет,подземная,1.0,Монолитный,,,,4 мин. на транспорте,ЗАО,район Солнцево
9706,19694400,"Свободная продажа, Возможна ипотека",Новостройка,111.9,39.9,31.5,2,13,1.0,1.0,Нет,Неизвестно,3.0,Монолитный,,0.0,,5 мин. на транспорте,СЗАО,район Хорошево-Мневники
1378,11154650,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,65.5,29.9,18.5,25,25,1.0,2.0,Нет,Неизвестно,2.0,Панельный,2.65,0.0,На улицу,7 мин. пешком,ЗАО,район Солнцево
23444,11774993,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,65.23,21.8,,21,23,2.0,1.0,Нет,подземная,3.0,Монолитный,,1.0,,9 мин. пешком,ЮАО,район Москворечье-Сабурово
26614,7440559,"Свободная продажа, Возможна ипотека",Новостройка,56.03,32.9,10.6,31,33,1.0,0.0,Нет,подземная,2.0,Монолитный,,0.0,,3 мин. на транспорте,Одинцовский городской округ,д. Раздоры
31472,11192900,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,97.9,67.0,,11,22,1.0,0.0,Нет,подземная,4.0,Монолитный,,,,6 мин. на транспорте,НАО (Новомосковский),Родниковая улица
7867,3686900,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,45.8,25.1,9.2,1,6,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,3.0,1.0,На улицу,12 мин. на транспорте,Балашиха,микрорайон Балашиха-1
12692,11602200,"Свободная продажа, Возможна ипотека",Новостройка,63.4,,,18,20,1.0,1.0,Нет,подземная,2.0,Монолитный,,,На улицу,2 мин. на транспорте,ЮАО,район Орехово-Борисово Южное
16393,16883685,", Возможна ипотека",Новостройка,66.5,,14.5,11,19,,,Нет,,2.0,Монолитный,,1.0,На улицу,6 мин. пешком,ЦАО,район Красносельский
35743,10821433,"Свободная продажа, Возможна ипотека",Новостройка,96.9,55.8,15.3,12,41,1.0,1.0,Нет,подземная,3.0,Монолитный,,1.0,,7 мин. на транспорте,Химки,микрорайон Старые Химки
15558,26000000,", Возможна ипотека",Новостройка,89.26,45.7,22.2,17,29,1.0,1.0,Нет,,3.0,Монолитный,,1.0,,23 мин. на транспорте,ЗАО,район Филевский парк
33078,13420330,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,50.05,,,18,19,1.0,1.0,Нет,подземная,1.0,Монолитный,3.25,,,9 мин. пешком,СВАО,район Алексеевский
16186,20828750,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,95.0,57.8,13.6,23,27,1.0,0.0,Нет,Неизвестно,3.0,Монолитный,,,,12 мин. пешком,САО,район Хорошевский
5817,10509004,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,56.0,24.8,14.2,14,23,2.0,1.0,Нет,подземная,2.0,Монолитный,3.0,0.0,,8 мин. пешком,ЮВАО,район Рязанский
3184,9302400,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,72.0,34.1,21.4,5,16,1.0,1.0,Нет,Неизвестно,2.0,Панельный,2.68,2.0,Во двор,6 мин. на транспорте,ЮВАО,район Люблино
15259,4673796,"Свободная продажа, Возможна ипотека",Новостройка,58.16,35.1,10.0,3,3,0.0,0.0,Нет,Неизвестно,2.0,Монолитный,,0.0,,35 мин. на транспорте,Истра городской округ,д. Красный Поселок
33300,7999950,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,40.1,12.1,17.7,13,13,1.0,1.0,Нет,Неизвестно,1.0,Панельный,2.65,0.0,Во двор,3 мин. на транспорте,СВАО,район Отрадное
15458,10845600,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,29.72,,,20,25,6.0,0.0,Нет,Неизвестно,1.0,Монолитный,,,,1 мин. пешком,ЮАО,район Даниловский
16062,5024250,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,52.2,33.0,9.7,15,22,1.0,0.0,Нет,подземная,2.0,Монолитный,,,,3 мин. на транспорте,Мытищи городской округ,пос. Нагорное
15469,9480721,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,27.37,,,22,25,6.0,0.0,Нет,Неизвестно,1.0,Монолитный,,,,1 мин. пешком,ЮАО,район Даниловский
8159,3500000,,Новостройка,50.1,17.7,19.9,4,16,1.0,1.0,Нет,,1.0,Монолитно-кирпичный,2.8,0.0,Во двор,30 мин. на транспорте,Раменское,район Западный
470,7972013,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,38.5,14.6,15.0,19,23,2.0,1.0,Нет,подземная,1.0,Монолитный,3.0,0.0,,8 мин. пешком,ЮВАО,район Рязанский
1725,14453910,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,60.3,26.2,18.5,2,28,1.0,2.0,Нет,Неизвестно,2.0,Монолитный,2.85,2.0,На улицу,13 мин. пешком,ЗАО,район Кунцево
21843,15534200,"Свободная продажа, Возможна ипотека",Новостройка,59.1,22.4,,6,16,1.0,0.0,Нет,подземная,1.0,Монолитный,,0.0,,2 мин. на транспорте,СВАО,район Бабушкинский
8781,12109073,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,63.97,36.5,12.5,16,19,1.0,0.0,Нет,подземная,2.0,Монолитный,,,,2 мин. на транспорте,ЮВАО,район Рязанский
31189,3988900,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,27.1,13.6,,14,22,1.0,0.0,Нет,подземная,,Монолитный,,,,6 мин. на транспорте,НАО (Новомосковский),Родниковая улица
15650,5771830,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,70.82,37.8,11.3,3,17,1.0,1.0,Нет,Неизвестно,3.0,Монолитный,3.0,1.0,На улицу и двор,12 мин. на транспорте,Балашиха,микрорайон Железнодорожный (Саввино)
36809,11831040,"Свободная продажа, Возможна ипотека",Новостройка,41.6,14.6,12.2,14,14,2.0,2.0,Нет,подземная,1.0,Монолитный,,0.0,,13 мин. пешком,ЮАО,район Даниловский
23200,7272554,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,53.0,25.6,14.6,12,12,1.0,0.0,Нет,Неизвестно,2.0,Монолитный,,1.0,,4 мин. на транспорте,Красногорск городской округ,д. Путилково
21254,9117500,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,52.1,27.7,,19,30,2.0,2.0,Нет,подземная,2.0,Монолитный,2.95,1.0,На улицу,5 мин. на транспорте,ЗАО,район Очаково-Матвеевское
17100,5390436,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,46.2,17.9,15.6,14,25,1.0,1.0,Нет,Неизвестно,1.0,Монолитный,,0.0,,4 мин. на транспорте,НАО (Новомосковский),Московский
35549,12025219,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,107.5,48.8,10.3,16,29,1.0,0.0,Нет,подземная,3.0,Монолитный,,1.0,,7 мин. на транспорте,Химки,микрорайон Старые Химки
3287,7162200,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,45.9,15.4,20.6,30,30,2.0,2.0,Нет,Неизвестно,1.0,Монолитный,2.8,0.0,Во двор,3 мин. пешком,Котельники,улица Сосновая
32922,30576590,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,105.5,,,11,19,1.0,0.0,Нет,подземная,3.0,Монолитный,3.25,,,9 мин. пешком,СВАО,район Алексеевский
7862,3521820,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,44.58,14.3,16.2,1,6,1.0,1.0,Нет,Неизвестно,1.0,Монолитный,3.0,0.0,Во двор,12 мин. на транспорте,Балашиха,микрорайон Балашиха-1
6117,19702605,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,89.0,50.6,15.2,13,18,1.0,1.0,Нет,подземная,3.0,Монолитный,,1.0,,3 мин. на транспорте,ЮАО,район Нагатинский затон
32169,1990000,,Новостройка,24.0,,,2,11,1.0,1.0,Нет,подземная,,Монолитный,,0.0,На улицу,,Ивантеевка,Заводская улица
34217,4485716,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,54.97,26.4,13.4,15,17,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,,0.0,,13 мин. на транспорте,Ленинский городской округ,д. Мисайлово
121,10138800,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,42.6,14.9,14.6,35,36,1.0,0.0,Нет,подземная,1.0,Монолитный,,0.0,,10 мин. пешком,САО,район Войковский
31952,7607600,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,41.8,17.9,11.7,9,17,1.0,1.0,Нет,Неизвестно,1.0,Монолитный,,0.0,,5 мин. на транспорте,ВАО,район Богородское
23359,10972310,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,81.7,42.8,17.2,6,13,1.0,1.0,Нет,Неизвестно,3.0,Монолитный,2.72,2.0,На улицу и двор,2 мин. на транспорте,ЮВАО,район Рязанский
3642,5628258,", Возможна ипотека",Новостройка,59.1,27.4,17.0,9,17,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,,1.0,,3 мин. на транспорте,Люберцы,микрорайон Люберцы 2015 2018
21416,1966500,", Возможна ипотека",Новостройка,28.3,19.0,5.0,9,17,1.0,1.0,Нет,,,Монолитный,,,Во двор,21 мин. на транспорте,Королев,Первомайский мкр
28681,4950000,", Возможна ипотека",Новостройка,80.0,45.0,10.0,22,22,4.0,0.0,Нет,подземная,3.0,Монолитный,,1.0,На улицу и двор,,Раменское,район Западный
20640,6700000,", Возможна ипотека",Новостройка,41.0,12.0,19.0,9,33,3.0,1.0,Нет,подземная,1.0,Монолитный,,0.0,На улицу,7 мин. пешком,ЮЗАО,район Южное Бутово
36991,12983540,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,55.72,,,6,16,1.0,0.0,Нет,подземная,2.0,Монолитный,,,,13 мин. пешком,ЮАО,район Даниловский
14069,26175784,", Возможна ипотека",Новостройка,84.2,49.3,15.8,19,19,1.0,1.0,Нет,подземная,3.0,Монолитный,3.2,1.0,На улицу и двор,2 мин. на транспорте,СЗАО,район Хорошево-Мневники
28595,4956000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,33.6,11.5,10.7,16,25,1.0,2.0,Нет,Неизвестно,1.0,Панельный,2.65,0.0,На улицу,7 мин. пешком,Люберцы,микрорайон Городок Б
32235,5713840,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,60.4,23.5,,1,25,1.0,2.0,Нет,Неизвестно,2.0,Монолитный,2.9,1.0,На улицу,7 мин. на транспорте,Мытищи,микрорайон Ярославский
17331,2150000,", Возможна ипотека",Новостройка,38.6,15.0,10.2,2,9,1.0,,Нет,,1.0,Монолитно-кирпичный,,1.0,Во двор,20 мин. на транспорте,Мытищи городской округ,д. Пирогово
19405,9791919,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,60.11,24.6,21.6,5,33,2.0,2.0,Нет,Неизвестно,2.0,Монолитный,0.0,2.0,На улицу,4 мин. на транспорте,САО,район Дмитровский
601,3600000,", Возможна ипотека",Новостройка,46.36,19.5,10.0,15,17,0.0,0.0,Нет,,1.0,Кирпичный,,0.0,Во двор,24 мин. на транспорте,Жуковский,улица Лацкова
8578,7797039,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,56.3,24.1,17.8,12,17,1.0,1.0,Нет,Наземная,2.0,Монолитный,,1.0,,1 мин. на транспорте,НАО (Новомосковский),Внуковское поселение
13430,10091120,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,40.69,,,15,55,1.0,0.0,Нет,подземная,1.0,Монолитный,,,,7 мин. пешком,ЦАО,район Пресненский
17938,5679619,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,55.64,23.8,14.4,1,18,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,,0.0,,13 мин. на транспорте,Ленинский городской округ,д. Мисайлово
11860,11413000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,50.5,15.4,16.3,3,20,2.0,1.0,Нет,Неизвестно,1.0,Монолитный,3.0,1.0,Во двор,6 мин. пешком,ЗАО,район Филевский парк
14535,38162843,"Свободная продажа, Возможна ипотека",Новостройка,72.4,16.2,30.6,2,4,1.0,1.0,Нет,подземная,1.0,Монолитный,3.25,0.0,,9 мин. пешком,ЦАО,район Замоскворечье
28895,8075540,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,78.1,,,14,17,1.0,1.0,Нет,Наземная,3.0,Панельный,,,,9 мин. пешком,ЮВАО,район Некрасовка
